ID,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
700,Mexico,7.682595899223053,7.558000015734839,7.342458620850372,7.38429425206978,7.587049855056544,7.348977306221046,9.975056892344284,10.041246395039119,10.007204832192784,7.526521219631413,82.45766148049914,0.17959717445529189
701,Mexico,7.782341979901508,7.462267153725897,7.469410842658522,7.642815502533437,7.215145277683046,7.3381223750334295,9.992745584720597,10.02045172420075,10.039404402983585,7.5358250866919825,82.40416244560522,0.08862297482569752
702,Colombia,7.6941764102046974,7.369589687135362,7.273684530570162,7.384250711973411,7.5296250758575765,7.6836202033532945,10.036339572371805,10.007346688540476,10.00376888616603,7.549919595747822,82.39221669142383,0.03251411493884927
703,Brazil,7.719830071570713,7.479154838949178,7.443501064827595,7.445305304171695,7.530536531255842,7.3942138490281915,10.030401930466306,9.986496403250154,10.025883874170171,7.383759775185077,82.39368945252608,0.13080545636014185
704,Colombia,7.297527531749407,7.5442662293472615,7.211156646730214,7.564249196422174,7.393861419225751,7.566386372090722,10.00140588315547,10.01330810921048,9.950203772250653,7.73449395521477,82.38408900406695,-0.0326545144317422
705,Colombia,7.591979801912754,7.278542016086597,7.400671754555221,7.248819155349942,7.558877675906206,7.85865870076186,9.978884026222282,9.995174471444301,10.002358579298145,7.541484709899991,82.42252119553983,0.04856105302724603
706,Honduras,7.506369547894277,7.581619160077533,7.32041722105133,7.538510533031567,7.37699207086032,7.41052424369164,9.961583687116818,10.021972590693725,10.04237075487208,7.621683066315305,82.34881683684739,0.13771862434575705
707,Brazil,7.333042511996402,7.547919377351974,7.4663921123460595,7.366773858973325,7.521087063029686,7.528054035089749,10.012208438137266,10.028293520517584,9.963087440513576,7.662800840180324,82.31260650498228,0.09619056171520873
708,Brazil,7.465761996143634,7.42810625878982,7.388794544114817,7.519555988208866,7.491407141824067,7.598579981086927,10.017259540731974,10.036311183286132,10.036651150831188,7.534118222027488,82.311427989581,0.0686948124880966
709,Brazil,7.521657779704379,7.522665286090631,7.4583764278601175,7.498767444943513,7.3939655631554,7.493407399335965,9.970202199814068,10.006178665940991,10.028309097066366,7.499929570810991,82.36565104460415,0.14646907757891814
710,Costa Rica,7.792294130522009,7.527074556908397,7.222476244887784,7.295512495886998,7.433683731483935,7.624485992128152,9.969475826819792,10.023005157003604,9.986917832132542,7.50300119731684,82.36028102556516,0.08459234984301096
711,Costa Rica,7.712417575496689,7.323271713767667,7.509975903665132,7.516400328770829,7.291512198761377,7.606072098496658,10.003169582261641,10.041779636532443,9.962769148400284,7.339668082345003,82.32944391641172,-0.025664827190336772
712,China,7.505263764302672,7.5703279734090305,7.390043334620828,7.511436535069365,7.423209361242797,7.400369953133349,10.027556730902354,10.044150510471042,9.982822227779305,7.49632853320736,82.33117472671363,0.12745647606554092
713,Brazil,8.244846561680953,7.8736289039472815,7.295002490700083,8.340383298871357,8.211840621318903,8.111750965315164,9.959612126045315,6.655378010342778,10.04363891803807,7.795512872707493,82.30505791735669,0.10215381108828346
714,Brazil,7.436133315847096,7.485971881959358,7.529888901276241,7.459248578329762,7.532704215937615,7.548063516279546,9.97403908829467,9.967964049786783,9.977341731392258,7.3888233742574405,82.31066703910743,0.13759346122862112
715,Guatemala,7.51167807038721,7.424571646026857,7.215700250495189,7.869854764161898,7.499966639119263,7.541704046721703,10.004163526650926,10.003794946707268,9.965680564449144,7.413555413952405,82.31047669488133,0.14379452547810073
716,Malawi,7.357780558533438,7.5773529573328835,7.461806597001727,7.557928428733847,7.316932048959028,7.4713495449112415,9.995985801766386,9.998194253604435,9.963537784997175,7.56834450728547,82.36969011644959,0.15739995679654523
717,Brazil,7.755828663588441,8.116778559294907,7.625330211263385,8.040371522804287,8.109538114463026,8.025793089843557,9.991208402990482,10.029399929040869,6.710908524853648,7.996777597267584,82.30072845075408,0.15531003660520887
718,Guatemala,7.553396015604729,7.658544144322587,7.502559273586294,7.53329349147813,7.74344389346087,7.481485605523257,9.372126595165904,9.967360021536253,10.021304893662869,7.4308724193366045,82.35640598329697,0.09404069816596797
719,Mexico,7.31083150249896,7.548212197997978,7.374843857924831,7.5419370111366275,7.46850345959763,7.488188233478841,10.005999928678667,10.005629332178321,10.038175831818661,7.472696616135549,82.29300188191108,0.10375896456223396
720,Colombia,7.382593314344661,7.303272477341133,7.528680274019224,7.153703971056645,7.055713314088576,8.336264124129078,9.97221420721085,9.975574385875394,10.04024512937568,7.542172138683841,82.29506694793582,0.06030665728266509
721,Taiwan,7.479424261771843,7.473286763620233,7.494536161412989,7.470714199655482,7.477496365157366,7.464011490921344,9.977986412071882,10.03347762752226,9.994615159744429,7.292275082583847,82.34364833624436,0.08263109896212097
722,Taiwan,7.47316381980231,7.49797698765231,7.521392677930176,7.539867047512882,7.485748074871554,7.4632586810108625,10.037814696811218,9.982678446351605,9.97426614001654,7.3465819698013854,82.35861802607924,0.13370378742268685
723,Guatemala,7.5318115152004514,7.420284658911687,7.54862120684164,7.5426488024154486,7.498865430115506,7.59964218345823,9.963189447385378,9.952428508719974,9.978487670422103,7.205318886951858,82.31565964959663,0.07643143509114872
724,Colombia,7.4925783358194575,7.4294360209414,7.512636463682212,7.531674334560396,7.472629374770733,7.559379505929313,10.03909189923535,10.033842577573036,9.994801121010317,7.3668613521083826,82.32310879269657,0.003841797470867811
725,Mexico,7.690002506139326,7.484242071209894,7.450901152730664,7.485731541704869,7.373071372142712,7.387547426667576,10.016177495574205,9.980202529643003,9.983893401276804,7.428416172522835,82.3595012804584,0.10130306099232583
726,Costa Rica,7.8847162156749375,7.60816236073347,7.272005422024374,7.705826811471001,7.926010663001762,7.5760307555474595,9.368013473388908,9.358068834063566,10.000045271195953,7.708665080298924,82.36095504387559,0.041376237632077636
727,Guatemala,7.650269074967366,7.5165580876254525,7.34297319408112,7.705644344951399,7.535151080229906,7.378988859947312,10.044785650533518,9.953021263255648,9.991711997496031,7.290884692731092,82.34983682585644,0.15146509722734994
728,Mexico,7.570983321859001,7.71110247216067,7.618053471352399,7.3113644356048875,7.033430862287876,7.532319759626728,10.029207458904235,10.009670196816636,9.955907739984854,7.532686768708019,82.32585005005781,0.1730439166969568
729,Mexico,7.700997931652511,7.590843749513104,7.475799391672324,7.6243060909714995,7.457954360358314,7.4734403588014375,9.990875147163194,9.957272499548889,9.95335807738867,7.02145468279083,82.37437122519533,0.13856042433047894
730,Guatemala,7.510941690014704,7.687244726042311,7.353533287812203,7.456451326504949,7.378959117668198,7.499195347456065,10.011607836736289,10.038467215216086,10.014662609823885,7.492629165100021,82.31381683866618,0.09753843446869981
731,Brazil,7.575102839613749,7.467145229335012,7.4086173083087825,7.524260070090075,7.481002063270405,7.3884653470930095,9.954648262710744,10.026230451293092,10.032648758740732,7.382979983828609,82.366293062014,0.16022391137721323
732,Mexico,7.980859330973364,7.730959628753531,7.367957907230464,7.311918854975949,7.125651480393723,7.664121329802841,9.373742141519077,9.992645940655079,10.048619377896197,7.783634026032673,82.30457619052841,0.06072628571156412
733,Brazil,7.600055510179134,7.61194076971734,7.204268729117934,7.619901865340022,7.401795729554807,7.487330381535255,9.99923098693683,9.965611561342495,10.002913505956725,7.4325485712523,82.29213036848418,0.06009544951744972
734,Colombia,7.792501464270913,7.537757540749401,7.368422651282365,7.228605820733374,7.577062656494007,7.428050585882922,9.995034079026748,9.986973712920085,9.951599369705427,7.294669305255338,82.3198030136895,0.02018976508383022
735,Brazil,7.614044501137147,7.492449026616972,7.223692959298895,7.453603129986278,7.64715879778594,7.335713766082462,9.97990095661307,10.038765897033567,10.04926249984161,7.494725915847079,82.28596417425231,0.0658304866274753
736,Taiwan,7.034432597940185,7.070760589871404,6.982493973412055,7.210987982829716,7.0433584179008495,7.023547382135786,10.017819684220886,10.049901099105075,10.004113470509324,10.034148139247241,82.28048525814538,0.05295274563310101
737,Guatemala,7.704331950695233,7.503681037563287,7.261847725343536,7.69834727412152,7.46009971750386,7.436041047775921,9.96468775216065,10.048142657663767,10.01911836823264,7.286691147687252,82.22229375275597,0.1241090850642939
738,Brazil,7.438310139851501,7.654415633398356,7.540684582750763,7.078004056076933,7.475567992897357,7.3801414593424,10.005943272750157,10.0467532669508,9.965879243816646,7.6312634669455806,82.28409921458994,-0.03844424885572387
739,El Salvador,7.597804986116716,7.628982683358203,7.497995606608659,7.717402826073762,7.841858649937136,8.45937777361052,9.365742192627147,9.327931448164467,9.348024919658608,7.624376894433502,82.2959344674642,0.11801831610804858
740,Honduras,7.627367844729534,7.454976565128306,7.465041312114572,7.588195907045621,7.409760517342921,7.380259456943401,10.004477502719139,9.997537428090663,10.020221215597083,7.342863590391884,82.2088386702058,0.159339388277364
741,Malawi,7.612349233167125,7.447462391883728,7.335692635223726,7.462151222136821,7.602619199627666,7.514460664862976,9.950274347474236,10.038957420963085,9.960648651574473,7.42143693167293,82.24974802610542,0.15061437541593356
742,Brazil,7.791984892780113,7.55833957698083,7.458797011813965,7.462151783305202,7.3073862258201085,7.286074317465427,9.985356459728955,9.950485058095982,10.00086442905299,7.397350839237189,82.26299780847462,0.13521942005446583
743,Taiwan,7.5288890576084855,7.469555958510623,7.5493612176419855,7.541450251908338,7.47417806145019,7.53820865548696,9.952783398293455,10.031953135168223,10.032469744496034,7.275317471480047,82.23955641282798,0.10443126901616831
744,Mexico,7.543755321325355,7.539616259230255,7.433001755880702,7.440154965627971,7.426713711510591,7.465799844187736,9.978924233040138,10.023923957443033,10.001161902997774,7.443484085785929,82.24202949244656,0.1326695057258244
745,United States (Hawaii),7.34590666430198,7.4504605279767935,7.529386807041692,7.671624605768647,7.4633110872252075,7.454242312464227,10.017066499264399,10.038704327283723,9.980503824795019,7.409480455557136,82.21018069270376,-0.0433228286445527
746,Mexico,7.55555634674018,7.617775475463801,7.509081439256887,7.204646637752843,7.406675362512129,7.3883075528325275,10.03413022191315,9.98862389511513,10.044004144997926,7.5700363987328965,82.25304907049852,0.11944579035110955
747,Guatemala,7.464671842145813,7.525111097838305,7.344288909357681,7.545897041526326,7.644591832741497,7.320311883099162,10.035557456929872,10.003592476406753,10.004329028158905,7.300124302201392,82.23376596026733,0.10746925173069025
748,Mexico,7.457261946037914,7.5366247332847385,7.407909457415748,7.66207984832834,7.327813294561177,7.455160766346498,10.043203125234427,10.001311626437708,9.973252440318449,7.280240449341584,82.20452783687287,0.16189739128591996
749,Mexico,7.655650934877911,7.5880487262131355,7.297897132390618,7.455119899859537,7.464332885509363,7.418312703275682,10.033585038691982,10.042591954618631,10.042130221923275,7.340139577406086,82.27932578247474,0.14667477567391934
750,El Salvador,7.709101054114288,7.280461417440413,7.3236664123801996,7.495058428294842,7.514958361114547,7.453583253613887,9.980176478196444,9.953118689582057,9.97894221806313,7.359766922146843,82.21168775058351,-0.042949554597621266
751,Mexico,7.340562820641541,7.530103894239435,7.4082206351248825,7.634743586047625,7.358712817461168,7.520156613250498,9.956469492775952,9.966948723778518,10.00942608891769,7.453230357953762,82.2648932263753,0.12914682119321402
752,Mexico,7.466819615495059,7.526073483860766,7.410531118338111,7.577363343557588,7.427150162899783,7.486304589319611,10.027381524972201,9.965192636904456,10.02315932683355,7.3778082442925506,82.21713121352866,0.13785293292424294
753,Colombia,7.4968105859773395,7.41009847776059,7.694028908418465,7.30794467031578,7.607052739008796,7.306875077055249,9.983261720694527,10.016260411204245,10.001912554111982,7.454680662917157,82.28898970961617,0.14740029635230822
754,Colombia,7.6672941434555755,7.320017707611657,7.283594365742063,7.320319820210854,7.51338402304393,7.49133878478464,9.962815286920389,9.964371204017931,10.037446643895093,7.620778750132725,82.24857737677192,0.14687296766474922
755,Brazil,7.695311802555535,7.543837125381145,7.401142168907866,7.015659486289324,7.503062116374859,7.533526442605169,9.97057235724862,10.027112741006963,10.039539099418814,7.486044700690027,82.29759310053797,0.09574889646752308
756,Colombia,7.184231096918054,7.270386761139089,7.5467471166961975,7.228798917738732,7.543489799194889,7.6266558025777975,10.024535854569352,10.024208832834253,10.024021971446222,7.739513046501341,82.26066706778373,0.22276818194657333
757,Brazil,7.4547224692477325,7.421028787688067,7.485856267161163,7.446253959445341,7.441173630292312,7.462866864715776,9.976206794785062,10.038867599928487,10.042713191457269,7.475334802303702,82.19152637512467,0.09082161028129102
758,Honduras,7.4725611398426235,7.53999773349851,7.202580884254141,7.370904614458884,7.501838230415376,7.453633627811406,10.022915609957074,9.993864247915457,10.009176018848201,7.550556513422806,82.18083868225955,0.1447483043927626
759,Nicaragua,7.450167606410094,7.534087556523287,7.373765899378897,7.438408175927592,7.496971119914015,7.374920448783087,9.970486489107751,10.031004492491396,9.956517823487845,7.508681057364324,82.1741732529157,0.08894104620589265
760,"Tanzania, United Republic Of",7.609276914098221,7.451914249759579,7.410992799279085,7.2912166053604155,7.481685530010866,7.374409757227853,9.996685193042044,9.959947621360403,10.035896922976317,7.528510123786188,82.1823161914583,0.14321952764062165
761,"Tanzania, United Republic Of",7.434193293955371,7.418276225767617,7.441246688098823,7.511290427697753,7.539131123162629,7.361996949034766,10.038350777720549,9.960997288602377,9.986489720848667,7.622464910764783,82.20009597715209,0.09236460275241788
762,Brazil,6.93946879354834,7.587665269098862,7.414795083420695,7.286755735986166,7.837912612749811,7.469346806539847,10.044305680496747,10.01501911317883,9.976504746422078,7.589387449421305,82.14058149028565,0.03983154490444643
763,Thailand,7.428815122938701,7.3824957252042775,7.128166060943233,7.739474316195833,7.238280714794154,7.624161152521862,9.974792407121935,10.043968843315962,10.036172793134014,7.495516876889941,82.18454914502486,0.14791737457532134
764,Honduras,7.666515680372914,7.464072114817457,7.236903702726419,7.454596557326554,7.585010717422744,7.434728698955663,9.98204068024886,10.043423639129204,10.046343585855269,7.302339399654783,82.17143436087488,0.12282492547598549
765,Guatemala,7.38811967090686,7.442758941883193,7.470967228444632,7.497910766425474,7.449745293718135,7.480407502965473,10.015045797684921,9.965935532522447,10.041702123755284,7.445366868270418,82.16237326248317,0.06745766127407747
766,Brazil,7.59833469021786,7.513035532697988,7.444081375738276,7.263071326441371,7.476732330504846,7.450679770486122,10.021185338452828,10.034157646570769,9.962590163125734,7.5379421506193065,82.19726258594811,0.12805665897715035
767,"Tanzania, United Republic Of",7.798688781077206,7.389704237278186,7.433629167031069,7.620023373903553,7.283256972263702,7.378373651804128,9.955369697235511,10.039953289895307,10.022946465444369,7.238368820716148,82.17285440581267,0.16914911248723513
768,Mexico,7.391720878584854,7.315555218751301,7.198019551494271,7.372077503803077,7.330994765327378,8.156693348903815,10.023649182611262,9.979552499167545,9.956998830312294,7.360369870652807,82.21904095854902,0.09877440563688959
769,Mexico,7.486958358611497,7.505619209296039,7.303766941864907,7.431529875496967,7.5264782413857105,7.464011904692025,10.019824848361852,10.019923637655218,9.972717859036731,7.528392881318397,82.21987685056615,0.14844904673735135
770,Taiwan,7.499045247959717,7.546795813769948,7.527365253339207,7.467392170166752,7.471509937697987,7.541406690181254,10.049526549926831,9.975966944843094,10.04113834518783,7.1697169952428474,82.16508293783956,0.15585154756588893
771,Taiwan,7.653926036421735,7.468796080190701,7.471074079130855,7.163557017262734,7.164471781846033,7.595093334571188,10.025622567122372,10.004691789163063,10.008315771734067,7.579426138696227,82.18775451666266,0.044931291329289844
772,Colombia,7.329792190963723,7.2649936157739115,7.254481418847285,7.60803065681128,7.735871123863858,7.526558565928935,10.043679951753473,10.032200225010783,10.001857494391096,7.4602983833146,82.17836294353339,0.04573767753391014
773,Mexico,7.489167601124514,7.620824061514555,7.046280372597885,7.52486360978851,7.363069315248667,7.523587522133015,9.954474546872731,10.013783810133116,10.014011152021858,7.685480117991409,82.18995972470248,0.18729801596673196
774,Guatemala,7.216308435472734,7.714498204983028,6.984114717349415,7.797232624652027,8.171601996199312,7.739240072463077,9.987465649708009,10.039483397850253,9.341609140126414,7.171277173998554,82.19737625369116,0.11666290617536049
775,Mexico,7.528782516333963,7.576125758541042,7.295064329641029,7.45609780026351,7.469976263303241,7.333232148462888,10.039032402252257,10.048832707862827,10.029100192155855,7.46983699121948,82.21839306625412,0.07768273354594865
776,Mexico,7.031806047423905,7.717063925076437,7.533255750137931,7.4502497587624115,7.430968573863753,7.452528302575912,10.015643445724423,10.004802140841475,9.995026622882769,7.575147720990156,82.1648262601029,0.13773524311904778
777,Colombia,7.617785088771783,7.680818257068773,7.465227254706722,7.133842783183939,7.197296410842864,7.729550483105042,10.015989162413959,9.965798805989063,10.006586807178591,7.423932478492425,82.18787695846727,0.11427432402822406
778,Indonesia,7.459587458705461,7.530705108601295,7.406608880471728,7.431338947332362,7.478727860023332,7.417405233232548,10.024049625499952,9.98461919149819,9.97929874903134,7.280371703795903,82.1028689073031,0.18378374601753678
779,Colombia,7.743272837277277,7.624273289249464,7.4434161178513625,7.6919543158567025,7.79454444492899,7.612987794082632,9.295943876815354,9.30918505447456,10.035555123689994,7.583398754028971,82.07969709850414,-0.03351687635583041
780,Brazil,7.435606650864408,7.585581600818249,7.411143711590066,7.46588042559558,7.424558937902473,7.236673681829323,10.046792255517957,9.990306472488692,9.96740661882228,7.508767292935178,82.04519652941325,0.06586827800946593
781,Brazil,7.2676422565450025,7.204835257299312,7.628126853177505,7.587847540052484,7.237683324911224,7.926212230752423,10.017560601699381,10.036448114031305,9.97003054608168,7.281454539904706,82.09114968523505,0.030198871342070194
782,Costa Rica,7.701774480799565,7.455289853129392,7.459723183029462,7.291280575069996,7.186910572384293,7.386333292963882,10.043956719755364,9.960236827063113,9.971599061030046,7.661595369284974,82.03624844709246,0.049259804792471856
783,"Tanzania, United Republic Of",7.400405423411694,7.284584737818321,7.3904564938570285,7.469496868319266,7.4705814240209225,7.623485937819188,9.9840592271105,9.954153513481986,10.033796796627408,7.444930511190923,82.08179512571485,0.10199862270909679
784,"Tanzania, United Republic Of",7.399674341456625,7.529703481064417,7.5371099587936135,7.335412518200455,7.339911663443051,7.477411603996339,10.037228751200821,9.986583988861,9.961726593750027,7.5312736964568705,82.06443392538662,0.0764426843816676
785,Colombia,7.5209178093292515,7.437246520369023,7.442561879843147,7.415564241958763,7.683879128768815,7.420247326117528,9.957254567108452,9.980805016717184,9.999184620476072,7.27562495578377,82.06220101211906,0.1044014581700455
786,Costa Rica,7.598504007855385,7.358465109609678,7.3596035779295175,7.336706420959811,7.543646701866336,7.635623401459007,10.026655613530371,9.981420954580253,10.026829749714716,7.2841835343270915,82.12402736976216,0.13031358399584136
787,United States (Hawaii),7.275338423731592,7.606424249059222,7.59361840682246,7.244453223975516,7.454085292629144,7.43462870502753,9.997634556081831,10.032974600561337,9.96917473353881,7.531385832641677,82.06740231583257,0.14738976840769027
788,Mexico,7.38177593873665,7.553328382651287,7.4518243538378695,7.315572790695181,7.4159834920282,7.417413862792908,9.967396525363098,10.038010006812508,10.035067207667486,7.468471251033194,82.08748949514488,0.13511317744049728
789,Mexico,7.513092951305678,7.377131317711801,7.426887173838162,7.49111201335976,7.234541674598168,7.511966509685674,10.00788883718651,9.958819169237014,10.043837618048736,7.5217984657612575,82.04329460602847,0.08027117046622148
790,Mexico,7.654095664949054,7.458558155461482,7.250513149476828,7.549007959195194,7.4292181699577435,7.318775335078726,10.015422207205278,10.008868500783763,9.983505306546206,7.368167260418503,82.08155024934767,0.15022344203217985
791,Vietnam,7.623217813582771,8.025639405864109,7.1633748965763955,7.064634099597013,7.68888071050995,7.045500736431632,10.033986980379971,10.041696122023803,10.016973184051444,7.4194440986720425,82.04297365937538,0.16398399891361543
792,Mexico,7.613069112951832,7.408163857188309,7.2724636687409046,7.7356748215705355,7.372295249128863,7.439482856790408,10.005469696644074,9.971415845520738,10.011937405644902,7.286167215195464,82.12548940572428,0.14057947935059006
793,United States (Hawaii),7.330663497633642,7.47005113346803,7.308234837634613,7.540897671574509,7.1022793362233525,7.861165230176218,9.952801465697926,9.982730714547367,10.029059190346864,7.445225466440935,82.05391426936299,0.05100601061241453
794,Colombia,7.714714359672579,7.427608653715668,7.693245064880201,7.3165563236133675,7.266361721557324,7.547149263059145,10.006111888345279,10.003544723349911,10.026730521685943,7.158621230372142,82.10997930581846,0.07740462871684242
795,Honduras,7.452331799449811,7.502555169255941,7.18080047280203,7.509973933300152,7.454507864304769,7.401312788779122,10.031511532080746,10.015424015873583,9.955726675273688,7.443284408495636,82.03639918200848,0.14937576601193642
796,Honduras,7.539622068045561,7.5220780758555685,7.223216732432635,7.300990102844075,7.381281511403434,7.479242423617897,10.01217977092654,10.031224656321585,10.024926093543252,7.456960295560616,81.98204219341741,0.13958497849603463
797,Brazil,7.4752297683661135,7.2890765649968525,7.3943156404953205,7.535375046220429,7.378273979313032,7.4083318048010165,9.954481966856953,9.956219368313688,10.00254248603143,7.47272566158659,82.04539027119405,0.07696085542459466
798,"Tanzania, United Republic Of",7.620920708212749,7.301218063248101,7.316678690592121,7.393199463767428,7.449776111416508,7.3732139344578,10.003296357866388,10.044227768018416,9.992883110446309,7.456999183678822,82.04292057555024,0.08203566068176991
799,Laos,7.443740878193554,7.50064175330949,7.2400195002981675,7.3704135743203185,7.461295002066789,7.549919618257345,10.034568576227514,10.033838590164097,9.968829545283176,7.536233290939795,82.01222278068296,0.1639165785917523
800,"Tanzania, United Republic Of",7.452345811413085,7.383945807525183,7.370448372987857,7.546029566373235,7.361290659533258,7.42093161977089,9.974354721741403,10.012979767112931,10.020913505752677,7.4935625772585,81.99239283291362,0.11125045753321999
801,Malawi,7.494326718777503,7.434082516785218,7.361459128498507,7.60211752651097,7.2852175789410305,7.5349026774317425,9.99563686491148,9.95719689958197,10.033104484053215,7.3006577542091025,81.95330456292149,0.1723291234701259
802,Taiwan,7.294498026222262,7.4757741948932575,7.2157524098172665,7.415409830443451,7.547085650779265,7.339876302961474,9.978024354115975,10.037020798523878,10.032339185915578,7.755517071024056,81.95707812881413,0.06380842664736813
803,Thailand,7.553265846868992,7.539096987260176,7.453826278106752,7.392254018749866,7.329876050947697,7.402212330915952,10.025139872633416,9.996832378683338,10.014267704897721,7.319933779676454,81.96856592559193,0.07190670832478237
804,Costa Rica,7.500166101795298,7.276077320918749,7.31443102139043,7.343660381993627,7.711635180704689,7.540189336192915,10.013820009224164,9.987227652653196,10.020029363296489,7.307678681714969,81.9506204780139,0.14768470666498817
805,Honduras,7.303418218349198,7.292993660106621,7.31303369038565,7.455373722417646,7.5404873337821146,7.8612076743334836,9.974700277661231,10.034191088073461,9.961186474869267,7.215125915308222,81.95765988983469,0.06248706930316002
806,Colombia,7.317383787843802,7.3225873180237055,7.56012412186122,7.542648983316366,7.4703311874562575,7.609326483206981,10.049788388724277,10.043945704417471,10.027530959851138,7.204924063291125,81.97036493825992,0.09728079838398725
807,Taiwan,7.3855834544941175,7.557125694161497,7.330858298608045,7.4219904747624765,8.03058739741776,7.504081663697548,9.36149414810535,9.996654706185803,10.00239191135557,7.3886324828633985,82.04546497138301,0.12980968555536765
808,Brazil,7.285510027097645,7.707227582805454,7.420007383566796,7.157124664502181,7.332255023754844,7.384823258070403,10.048452039062424,10.010929731777289,10.025463453617077,7.6310455750743,82.02100154944017,0.07323421059340186
809,Mexico,7.620608352275977,7.302227508408016,7.224009928003422,7.537270174135852,7.397043001064705,7.466611889080955,10.036664688189312,10.036073356412771,9.96893799548414,7.451012904292574,81.97966408181111,0.09303975817693526
810,Brazil,7.443775221826523,7.52581963221274,7.3023633095324625,7.478469607767381,7.372056945093953,7.478818834417334,10.043283832770777,9.960184617099925,9.996654837523435,7.449369402767946,81.9683069265256,0.1101505516761752
811,Brazil,7.4408043213714015,7.541156208256556,7.275576204505859,7.474047192470141,7.547950104661243,7.4243043540792675,9.965645016097936,9.957872427202133,9.950091184561067,7.4160053842862075,81.99555566332018,0.07954887433258563
812,Guatemala,7.294183003641391,7.318334756535414,7.3322083417631365,7.515744465504884,7.655844456574305,7.672396829423237,10.03545906449231,10.014951976326637,10.02842393409091,7.165333375880479,81.96478036782959,0.11709118196887737
813,Brazil,7.543647958109347,7.494980630087657,7.157251799917296,7.454101816854316,7.453597044073775,7.396078948315353,9.95878809887539,9.951714059401624,10.04328939119938,7.313993136283773,81.95485497308289,0.07563753604184634
814,Guatemala,7.796473015365247,7.303869921616569,7.323891094473889,7.468009875458488,7.789113798478566,7.6377220618080415,10.045694787030644,10.007593888631261,9.318007870133671,7.383436891978605,81.9888106951484,-0.040305861477659966
815,Colombia,7.377106079222565,6.977709713304976,7.124749664432297,7.3877516499789,7.544893276728062,7.648078067482149,9.996169088668632,10.028755941156996,10.033519901137176,7.978810858242228,81.95905813972664,0.10524990209802347
816,Guatemala,7.596708369164721,7.469044535827831,7.261414361652326,7.574963714280034,7.581551166262368,7.471632446337434,9.373587365086294,10.016775135918612,10.009863579250348,7.575288517907768,81.94592176825192,0.12954182880272158
817,Guatemala,7.5378409870004175,7.542193498639159,7.213106337909829,7.432904175001885,7.458821486407126,7.466093599522965,9.998444743786896,9.95392371570664,9.982659956616725,7.467970574246036,81.93277749615191,0.15142369142151474
818,Honduras,7.588951019168489,7.520616934847225,7.204120162739436,7.363018647692314,7.428755035720438,7.525476241255807,9.971538856525697,9.987679611721646,10.000707680848857,7.350136911313226,81.89901277753201,0.1622845431595437
819,Brazil,7.450598010195762,7.37536132649141,7.37437499938572,7.492183385963501,7.5075301111155905,7.346475175813783,10.029645694009865,9.990912471698056,9.969579163684825,7.525503968279832,81.96568505326621,0.1542879031786752
820,El Salvador,7.706785566799076,7.560524705633048,7.353530294493654,7.545850022843752,7.500550476204218,7.683129881565319,10.001318872125534,9.992467274481148,9.321196168456144,7.282982844866646,81.95178817372751,0.09459360830451372
821,Guatemala,7.543050557322921,7.591863842421052,7.196882515951853,7.804494048248669,7.1302438480556605,7.325323939149266,9.957630468637893,9.968257507681985,9.955786408493836,7.2788492014953015,81.94451685484,0.06599776580179775
822,"Tanzania, United Republic Of",7.317999038549509,7.330010145716562,7.29788820117861,7.431962310309431,7.489830960341103,7.566166895855166,10.001018710504562,9.984679798920359,9.997260753626108,7.37991951577126,81.90837522267728,0.14123901264188551
823,Nicaragua,7.545373857435562,7.427728914707623,7.247077800133769,7.127073619723539,7.5433562929765765,7.637026038700871,9.99231822839967,10.042518853207621,9.958142669626985,7.343907081726004,81.9320610749764,0.15647917349739743
824,Zambia,7.672313327518718,7.063512870529813,7.422185837539465,7.297735274387488,7.703452782090279,7.4139892504750184,10.041906537142042,10.048865222872873,9.996508747188077,7.209247565648352,81.88543709820554,-0.0016604012873195698
825,Honduras,7.423902039175446,7.298823438539365,7.376934656788397,7.614247290329673,7.3479198875696445,7.475492413548579,10.034491578550039,10.046249659018397,9.97411476623308,7.439477295786259,81.9010166427707,0.10107836240603188
826,Taiwan,7.455840191353402,7.497285317703796,7.380459421498141,7.235559230023998,7.515487708656706,7.519398724438394,9.95408425582795,9.988990170208401,9.999030622123454,7.29054134556086,81.93510228395147,0.08476127794834755
827,Mexico,7.623946107281991,7.467831165871447,7.225890187453756,7.608281661270265,7.543883341061831,7.286394027469586,9.957330241122836,9.971858269016115,9.989065343416966,7.294325131073218,81.91791404728114,0.07023684990677387
828,Mexico,7.517461905776661,7.450162781540221,7.29827503456121,7.29952487723245,7.52083062463081,7.48273179065638,9.955458737725914,9.995950370575468,9.950864766384196,7.398670032326317,81.90672287687875,0.1306388135297205
829,Mexico,7.515032088315494,7.424343669867342,7.28443523388009,7.530809055100684,7.329835083655331,7.323743911261446,9.97737597634025,9.956560926959142,9.975773022727044,7.586411606362251,81.92359433140162,0.14049555779701667
830,Mexico,7.333299924108996,7.580730336147968,7.124532730469736,7.575323646015863,7.389502528468829,7.29381674439173,10.00700864177183,9.969147752509253,10.012824795567186,7.544964961227821,81.9024962761109,0.14177674962080655
